Charte des rendements,Culvivar,Unite,Poids (en g),Prix €/U,Rendement Q/30m,Rendement KG/30m,Revenu €/30m,Espèces,Jours de récolte (from Espèces),Rendement en € par J et par Mètre,Rendement en KG par J et par Mètre,Récolte hebdomadaire,Dernière modification
Aubergine,Generic,Kilogramme,"1000,0","€6,00",450,450,€2700.00,Aubergine,160,€0.56,0.09,3,17/3/2026 12:52pm
Mesclun (mix),Generic,Kilogramme,"1000,0","€22,00",35,35,€770.00,Mesclun (mix),27,€0.95,0.04,3,5/1/2026 5:06pm
Tatsoi (mini),Generic,Kilogramme,"1000,0","€22,00",13,13,€286.00,Tatsoi (mini),17,€0.56,0.03,5,5/1/2026 5:06pm
Carottes (primeur),Generic,Botte (8),"600,0","€4,00",177,106,€708.00,Carottes (primeur),20,€1.18,0.18,4,5/1/2026 5:06pm
Basilic,Generic,Grammes (50),"50,0","€3,00",394,20,€1182.00,Basilic,49,€0.80,0.01,2,5/1/2026 5:06pm
Epinards,Generic,Kilogramme,"1000,0","€22,00",27,27,€594.00,Epinards,28,€0.71,0.03,3,5/1/2026 5:05pm
Oignon vert,Generic,Botte,"150,0","€3,00",492,74,€1476.00,Oignon vert,14,€3.51,0.18,1,5/1/2026 5:05pm
Persil,Generic,Botte (10),"250,0","€2,50",443,111,€1107.50,Persil,70,€0.53,0.05,2,5/1/2026 5:05pm
Tomates,Generic,Kilogramme,"1000,0","€6,00",225,225,€1350.00,Tomates,42,€1.07,0.18,3,5/1/2026 5:05pm
Achillée millefeuille,Generic,Tige,"15,0","€1,50",2000,30,€3000.00,Achillée millefeuille,15,€6.67,0.07,,5/1/2026 5:02pm
Ageratum,Generic,Tige,"10,0","€1,25",2400,24,€3000.00,Ageratum,10,€10.00,0.08,,5/1/2026 5:02pm
Ail,Generic,Unité,"60,0","€2,00",591,35,€1182.00,Ail,14,€2.81,0.08,,5/1/2026 5:02pm
Amarante,Generic,Tige,"20,0","€2,00",2400,48,€4800.00,Amarante,15,€10.67,0.11,,5/1/2026 5:02pm
Ammi,Generic,Tige,"15,0","€1,50",1200,18,€1800.00,Ammi,10,€6.00,0.06,,5/1/2026 5:02pm
Ammi Dara,Generic,Tige,"15,0","€1,50",1600,24,€2400.00,Ammi Dara,10,€8.00,0.08,,5/1/2026 5:02pm
Ancolie,Generic,Tige,"15,0","€1,25",1200,18,€1500.00,Ancolie,10,€5.00,0.06,,5/1/2026 5:02pm
Anémone,Generic,Tige,"20,0","€3,00",4000,80,€12000.00,Anémone,15,€26.67,0.18,,5/1/2026 5:02pm
Artichaut,Generic,Unité,"300,0","€2,50",900,270,€2250.00,Artichaut,14,€5.36,0.64,,5/1/2026 5:02pm
Aneth,Generic,Botte (2),"100,0","€2,00",591,59,€1182.00,Aneth,14,€2.81,0.14,,5/1/2026 5:02pm
Avoine,Generic,Kilogramme,"1000,0","€0,00",0,0,€0.00,Avoine,,NaN,NaN,,5/1/2026 5:02pm
Bette à carde,Generic,Botte (3),"450,0","€3,00",512,230,€1536.00,Bette à carde,84,€0.61,0.09,,5/1/2026 5:02pm
Asclépiade,Generic,Tige,"20,0","€1,50",2000,40,€3000.00,Asclépiade,10,€10.00,0.13,,5/1/2026 5:02pm
Blé,Generic,Unité,"40,0","€0,00",0,0,€0.00,Blé,,NaN,NaN,,5/1/2026 5:02pm
Asperge,Generic,Kilogramme,"1000,0","€22,00",39,39,€858.00,Asperge,,Infinity,Infinity,,5/1/2026 5:02pm
Betterave,Generic,Botte (6),"900,0","€3,25",158,142,€513.50,Betterave,20,€0.86,0.24,,5/1/2026 5:02pm
Bok choy,Generic,Unité,"250,0","€3,00",394,99,€1182.00,Bok choy,14,€2.81,0.23,,5/1/2026 5:02pm
Aster de Chine,Generic,Tige,"20,0","€2,75",1000,20,€2750.00,Aster de Chine,10,€9.17,0.07,,5/1/2026 5:02pm
Campanule,Generic,Tige,"20,0","€1,75",800,16,€1400.00,Campanule,10,€4.67,0.05,,5/1/2026 5:02pm
