Nom,Espèce,Contenant,Semance / cell,Technique,Marge sécurité,j germination,Température germination optimale,contenant rempotage,J jusqu'au rempotage,2eme contenant rempotage,j jusqu'au 2eme rempotage,3eme contenant rempotage,J jusqu'au 3e rempotage,Dernière modification
Tomates cerises,Tomates cerises,Plateau 128 cellules,1,À la main,,11,20,"Pot de 6""",21,,,,,20/3/2026 12:22pm
Tomates,Tomates,Plateau 72 cellules,1,À la main,,11,20,"Pot de 4""",21,,,,,20/3/2026 12:20pm
Shiso (Périlla pourpre),Shiso (Périlla pourpre),"Pot de 4""",1,À la main,,21,19,"Pot de 6""",1,,"1,0",,,20/3/2026 12:12pm
Poivrons (serre),Poivrons (serre),Plateau 128 cellules,1,À la main,,15,22,"Pot de 4""",,,,,,20/3/2026 12:01pm
Pastèque,Pastèque,"Pot de 4""",1,À la main,,10,25,"Pot de 6""",28,,"1,0",,,20/3/2026 11:47am
Melon,Melon,Plateau 72 cellules,1,À la main,,10,25,,,,,,,20/3/2026 11:40am
Courgettes d'été,Courgettes d'été,Plateau 72 cellules,1,À la main,,6,22,,,,,,,20/3/2026 11:34am
Coriandre,Coriandre,Plateau 128 cellules,4,À la main,,21,17,,,,,,,20/3/2026 11:22am
Concombre (serre),Concombre (serre),"Pot de 6""",1,À la main,,7,19,,,,,,,20/3/2026 11:11am
Basilic,Basilic,Plateau 128 cellules,1,À la main,,10,20,,,,,,,20/3/2026 10:56am
Aubergine,Aubergine,Plateau 128 cellules,1,À la main,,10,20,"Pot de 4""",21,,,,,20/3/2026 10:41am
Menthe,Menthe,Plateau ouvert,200,À la main,,12,23,"Pot de 4""",21,,,,,15/12/2025 4:24pm
Céleri-rave,Céleri-rave,Plateau ouvert,250,À la main,,14,22,Plateau 72 cellules,28,,,,,15/12/2025 4:24pm
Cerise de terre,Cerise de terre,Plateau 128 cellules,1,À la main,,14,26,"Pot de 4""",28,,,,,15/12/2025 4:24pm
Poivrons (champs),Poivrons (champs),Plateau 128 cellules,1,À la main,,8,30,"Pot de 4""",21,,,,,15/12/2025 4:24pm
Piments forts,Piments forts,Plateau 128 cellules,1,À la main,,8,30,"Pot de 4""",21,,,,,15/12/2025 4:24pm
Oseille,Oseille,Plateau 128 cellules,3,À la main,,12,20,"Pot de 4""",21,,,,,15/12/2025 4:24pm
Sauge,Sauge,Plateau 128 cellules,2,À la main,,14,21,"Pot de 4""",35,,,,,15/12/2025 4:24pm
Patate douce,Patate douce,Plateau ouvert,6,À la main,,14,23,Plateau 32 cellules,30,,,,,15/12/2025 4:24pm
