Nom,record id,Nom tache,tache template,Jour ref,Avant / Après,nb J,Quand ?,min par m2,template,From field: tache template,Tache,Espèces
Biodisque Carottes (conservation),recK7pmvw9XuEFFfv,Biodisque,Biodisque ,Implantation,après,21,21 jours après Implantation,"3,0",,,,Carottes (conservation)
Faux-semis Carottes (conservation),recJhONdfz9Z2j6vg,Faux-semis,Faux-semis ,Implantation,avant,7,7 jours avant Implantation,"7,0",,,,Carottes (conservation)
Désherbage thermique Carottes (conservation),reccPhWNluyx0RXS4,Désherbage thermique,Désherbage thermique ,Implantation,après,5,5 jours après Implantation,"2,0",,,,Carottes (conservation)
Herse étrille Carottes (conservation),recWSIzomSpkzq7oB,Herse étrille,Herse étrille ,Implantation,après,10,10 jours après Implantation,"2,0",,,,Carottes (conservation)
Semis pépinière Mesclun (mix),recBkECuAKtrdcRQ5,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Mesclun (mix)
Transplantation Mesclun (mix),reckQ5bd1dvVNfVaF,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Mesclun (mix)
1ère Récolte Mesclun (mix),rech1bmhsiXR6IIB4,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Mesclun (mix)
Semis direct Tatsoi (mini),recS3mwjW6U1y5IdZ,Semis direct,Semis direct ,,,,A planifier,"4,0",,,,Tatsoi (mini)
1ère Récolte Tatsoi (mini),recVCuZh2wGmUC3Ji,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Tatsoi (mini)
Semis pépinière Céleri-rave (mini),recJAnw8iNTNEWv0n,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Céleri-rave (mini)
Transplantation Céleri-rave (mini),recDBRb0Wu48cwqqF,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Céleri-rave (mini)
1ère Récolte Céleri-rave (mini),recwoun3crU9srDWz,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Céleri-rave (mini)
Semis pépinière Scabieuse,recnHrVqUUZUliWQL,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Scabieuse
Transplantation Scabieuse,recDhoMWqMTgst5Zd,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Scabieuse
1ère Récolte Scabieuse,recb49hntSU5p2lrx,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Scabieuse
Semis pépinière Bok choy,rec8xI4xOGSa0TZ6I,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Bok choy
Transplantation Bok choy,recPyaPKmld9Hczhd,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Bok choy
1ère Récolte Bok choy,rec3GsvqEitCT38YJ,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Bok choy
Semis pépinière Courges d'hiver,recsQWE7G4bic160U,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Courges d'hiver
Transplantation Courges d'hiver,recHBUCFgBgNaNB9U,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Courges d'hiver
1ère Récolte Courges d'hiver,recxYtrSAoLM6tlJe,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Courges d'hiver
Semis pépinière Poireaux (conservation),recszGDqG7CTfOB7N,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Poireaux (conservation)
Transplantation Poireaux (conservation),recGyB3j7yrhx27K4,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Poireaux (conservation)
1ère Récolte Poireaux (conservation),rec0cIaKswyjb4NFl,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Poireaux (conservation)
Semis pépinière Celosie à plumes,recxpyQu18bSuYR91,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Celosie à plumes
Transplantation Celosie à plumes,receMur6maughW9Jx,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Celosie à plumes
1ère Récolte Celosie à plumes,recc4TetZ8o533SUu,1ère Récolte,1ère Récolte ,,,,A planifier,"10,0",,,,Celosie à plumes
Semis pépinière Persil,rec9QeKMJ76evm9M6,Semis pépinière,Semis pépinière ,,,,A planifier,"5,0",,,,Persil
Transplantation Persil,rec82k2y3p87iMY7l,Transplantation,Transplantation ,,,,A planifier,"10,0",,,,Persil
