Nom,Espèces,Nb rang,Espacement entre rg (cm),Espacement sur rg (cm),Jours en pépinière (j),JAM (j),Récolte (j),Sem début,Sem Fin,Marge de sécurité en %,Modif,nb transplant /m2,nb transplant m2 + marge 20%
Achillée millefeuille,Achillée millefeuille,"3,00","22,86","22,86",30,330,15,,,20,17/3/2026 11:35am,"13,12",15
Ageratum,Ageratum,"4,00","20,32","15,24",30,60,10,,,20,17/3/2026 11:36am,"26,25",31
Ail,Ail,"3,00","25,40","13,97",,275,14,,,20,17/3/2026 11:36am,"21,47",25
Amarante,Amarante,"4,00","20,32","15,24",25,55,15,,,20,17/3/2026 11:36am,"26,25",31
Ammi,Ammi,"3,00","27,94","22,86",25,50,10,,,20,17/3/2026 11:36am,"13,12",15
Ammi Dara,Ammi Dara,"4,00","22,86","15,24",25,55,10,,,20,17/3/2026 11:36am,"26,25",31
Aneth,Aneth,"5,00","12,70","15,24",30,30,14,,,20,17/3/2026 11:36am,"32,81",39
Artichaut,Artichaut,"1,00","121,92","60,96",42,85,14,,,20,17/3/2026 11:36am,"1,64",1
Asclépiade,Asclépiade,"3,00","22,86","22,86",30,100,10,,,20,17/3/2026 11:36am,"13,12",15
Aster de Chine,Aster de Chine,"5,00","15,24","15,24",35,60,10,,,20,17/3/2026 11:36am,"32,81",39
Aubergine,Aubergine,"1,00","40,00","45,00",70,130,160,,,20,20/3/2026 10:45am,"2,22",2
Basilic,Basilic,"4,00","20,32","30,00",30,45,49,,,20,17/3/2026 11:36am,"13,33",16
Bette à carde,Bette à carde,"2,00","45,72","45,72",30,35,84,,,20,17/3/2026 11:36am,"4,37",5
Betterave,Betterave,"3,00","27,94","15,00",35,35,20,,,20,17/3/2026 11:36am,"20,00",24
Bok choy,Bok choy,"4,00","20,32","30,48",35,45,14,,,20,17/3/2026 11:36am,"13,12",15
Brocoli,Brocoli,"2,00","45,72","45,72",30,55,14,,,20,17/3/2026 11:36am,"4,37",5
Brocoli-rave,Brocoli-rave,"3,00","27,94","20,32",30,25,14,,,20,17/3/2026 11:36am,"14,76",17
Buplèvre,Buplèvre,"4,00","20,32","15,24",30,55,10,,,20,17/3/2026 11:36am,"26,25",31
Campanule,Campanule,"4,00","20,32","15,24",30,70,10,,,20,17/3/2026 11:36am,"26,25",31
Cardon,Cardon,"1,00","121,92","60,96",49,149,14,,,20,17/3/2026 11:36am,"1,64",1
Céleri,Céleri,"3,00","27,94","30,48",56,59,140,,,20,17/3/2026 11:36am,"9,84",11
Céleri-rave,Céleri-rave,"3,00","27,94","30,48",70,80,14,,,20,17/3/2026 11:36am,"9,84",11
Céleri-rave (mini),Céleri-rave (mini),"4,00","20,32","30,48",70,50,14,,,20,17/3/2026 11:36am,"13,12",15
Celosie,Celosie,"5,00","15,24","15,24",23,77,7,,,20,17/3/2026 11:36am,"32,81",39
Celosie à plumes,Celosie à plumes,"4,00","20,32","15,24",23,72,10,,,20,17/3/2026 11:36am,"26,25",31
Centaurée Aloha,Centaurée Aloha,"5,00","15,24","15,24",25,65,12,,,20,17/3/2026 11:36am,"32,81",39
Centaurée bleuet,Centaurée bleuet,"4,00","20,32","15,24",25,45,12,,,20,17/3/2026 11:36am,"26,25",31
Cerinthe,Cerinthe,"3,00","22,86","22,86",25,45,15,,,20,17/3/2026 11:36am,"13,12",15
Cerise de terre,Cerise de terre,"1,00","121,92","60,96",49,75,35,,,20,17/3/2026 11:36am,"1,64",1
Chicorée frisée,Chicorée frisée,"4,00","20,32","15,24",37,48,60,,,20,17/3/2026 11:36am,"26,25",31
Chicorée Rouge,Chicorée Rouge,"3,00","27,94","30,48",30,80,21,,,20,17/3/2026 11:36am,"9,84",11
Chicorée scarole,Chicorée scarole,"3,00","27,94","20,32",30,65,18,,,20,17/3/2026 11:36am,"14,76",17
Chou (automne),Chou (automne),"2,00","45,72","45,72",30,95,14,,,20,17/3/2026 11:36am,"4,37",5
Chou (chinois),Chou (chinois),"2,00","45,72","45,72",30,55,14,,,20,17/3/2026 11:36am,"4,37",5
Chou (été),Chou (été),"2,00","45,72","45,72",30,65,14,,,20,17/3/2026 11:36am,"4,37",5
Chou (Milan),Chou (Milan),"2,00","45,72","45,72",30,50,14,,,20,17/3/2026 11:36am,"4,37",5
Chou Cavalier,Chou Cavalier,"2,00","45,72","45,72",30,50,30,,,20,17/3/2026 11:36am,"4,37",5
Chou kale,Chou kale,"2,00","45,72","45,72",30,57,98,,,20,17/3/2026 11:36am,"4,37",5
Chou ornamental,Chou ornamental,"5,00","15,24","15,24",23,67,15,,,20,17/3/2026 11:36am,"32,81",39
Chou-fleur (romanesco),Chou-fleur (romanesco),"2,00","45,72","45,72",35,75,14,,,20,17/3/2026 11:36am,"4,37",5
Chou-rave,Chou-rave,"4,00","20,32","30,48",30,25,14,,,20,17/3/2026 11:36am,"13,12",15
Chou-rave (conservation),Chou-rave (conservation),"3,00","20,32","30,48",30,66,14,,,20,17/3/2026 11:36am,"9,84",11
Choux de Bruxelles,Choux de Bruxelles,"2,00","45,72","45,72",37,110,21,,,20,17/3/2026 11:36am,"4,37",5
Ciboulette,Ciboulette,"3,00","27,94","30,48",49,80,150,,,20,17/3/2026 11:36am,"9,84",11
Cinéraire,Cinéraire,"4,00","20,32","15,24",25,65,7,,,20,17/3/2026 11:36am,"26,25",31
Citrouille,Citrouille,"1,00","121,92","91,44",21,84,14,,,20,17/3/2026 11:36am,"1,09",1
Cloches d'Irlande,Cloches d'Irlande,"4,00","20,32","15,24",30,70,7,,,20,17/3/2026 11:36am,"26,25",31
Cobé,Cobé,"2,00","30,48","30,48",23,97,15,,,20,17/3/2026 11:36am,"6,56",7
Concombre (serre),Concombre (serre),"1,00","40,00","45,00",28,61,60,,,20,20/3/2026 11:13am,"2,22",2
Coriandre,Coriandre,"4,00","20,00","15,00",30,40,10,,,20,20/3/2026 11:24am,"26,67",32
Cosmos,Cosmos,"3,00","22,86","22,86",25,50,10,,,20,17/3/2026 11:36am,"13,12",15
Courges d'hiver,Courges d'hiver,"1,00","121,92","91,44",15,91,21,,,20,17/3/2026 11:36am,"1,09",1
Courgettes d'été,Courgettes d'été,"1,00","40,00","60,00",15,60,75,,,20,20/3/2026 11:35am,"1,67",2
Craspedia,Craspedia,"4,00","20,32","15,24",30,80,12,,,20,17/3/2026 11:36am,"26,25",31
Cresson de fontaine,Cresson de fontaine,"4,00","20,32","20,32",,67,14,,,20,17/3/2026 11:36am,"19,69",23
Curcuma,Curcuma,"1,00","157,48","10,16",42,168,56,,,20,17/3/2026 11:36am,"9,84",11
Dauphinelle,Dauphinelle,"4,00","20,32","15,24",25,65,7,,,20,17/3/2026 11:36am,"26,25",31
Delphinium,Delphinium,"3,00","22,86","22,86",30,335,7,,,20,17/3/2026 11:36am,"13,12",15
Dianthus,Dianthus,"4,00","20,32","15,24",30,70,12,,,20,17/3/2026 11:36am,"26,25",31
Didiscus,Didiscus,"4,00","20,32","15,24",25,75,12,,,20,17/3/2026 11:36am,"26,25",31
Digitale,Digitale,"3,00","22,86","22,86",45,320,12,,,20,17/3/2026 11:36am,"13,12",15
Échalote,Échalote,"3,00","27,94","10,16",45,90,14,,,20,17/3/2026 11:36am,"29,53",35
Epinards,Epinards,"5,00","15,24","12,70",30,25,28,,,20,17/3/2026 11:36am,"39,37",47
Eringium,Eringium,"3,00","22,86","22,86",30,335,12,,,20,17/3/2026 11:36am,"13,12",15
